type,name,tel,address,location,category
"골목식당,1",가야가야,02-363-7877,서울 서대문구 이화여대5길 7-3,"37.55815208918484,126.94536549495102",회/일식
"골목식당,1",소바야린,02-312-0703,서울특별시 서대문구 이화여대3길 10,"37.55805769779106,126.94516738056033",회/일식
"골목식당,1",버거앤치즈,02-3291-5050,서울특별시 서대문구 대현동 이화여대5길 8,"37.55839740380951,126.94529500520358",아시안/양식
"골목식당,1",맛있는식사,02-2365-0981,서울특별시 서대문구 대현동 이화여대길 24,"37.557866545283495,126.94596150246343",한식
